param,param,cost,low_bound,up_bound,gamma_shape,gamma_scale,OLDgamma_shape,OLDgamma_scale
init surveillance,init surveillance,1919.58771,1535.670168,2303.505252,479.8969275,4.0,460.9896,4
surveillance,surveillance,1375.9049,1100.72392,1651.08588,458.63496666666657,3.0000000000000004,330.424,4
HSBO,HSBO,8921.56752,6941.44872,11585.72736,1486.92792,6.0,2142.5098,4
oophorectomy,oophorectomy,6155.208,4657.0536,8508.12336,1025.868,6.0,1478.17,4
surgical comps,surgical comps,8276.1417,6620.9133600000005,9931.37004,1379.35695,6.0,1987.511125,4
init EC local,init EC local,22821.16102,21707.3626,23936.63181,7607.053673333333,3.0,4671.36695,4
init EC regional,init EC regional,42396.25187,38837.44851,45955.05523,8479.250374,5.0,8678.281075,4
init EC distant,init EC distant,71074.05263,61146.864310000004,81001.24095,14214.810526000001,5.0,14548.470175,4
EC local,EC local,1531.89092,1354.6197,1710.8345100000001,1531.89092,1.0,627.1394,2
EC regional,EC regional,1531.89092,1354.6197,1710.8345100000001,1531.89092,1.0,627.1394,2
EC distant,EC distant,1531.89092,1354.6197,1710.8345100000001,1531.89092,1.0,627.1394,2
end EC,end EC,41225.59287,39750.56253,42698.950840000005,13741.86429,3.0,8438.653575,4
init OC local,init OC local,50652.74256,43801.042669999995,57504.44245,16884.247519999997,3.0000000000000004,10368.3396,4
init OC regional,init OC regional,70055.5793,58997.86886,81111.61736999999,23351.859766666665,3.0,14339.99425,4
init OC distant,init OC distant,97311.86556,92875.06795,101750.33554,32437.288520000002,3.0,19919.2071,4
OC local,OC local,6508.86404,5913.50032,7104.22776,2169.621346666667,3.0,1332.3289,4
OC regional,OC regional,6508.86404,5913.50032,7104.22776,2169.621346666667,3.0,1332.3289,4
OC distant,OC distant,6508.86404,5913.50032,7104.22776,2169.621346666667,3.0,1332.3289,4
end OC,end OC,83876.04498,80951.06985,86799.34774,27958.681660000002,3.0,17168.96805,4
