param,value,low_bound,up_bound,alpha,beta,dist_type,multiplier,below_low_bound,above_up_bound,max_val,min_val
surgical mortality,0.0017,0.0013599999999999999,0.00204,4127.852535349647,2424020.697670325,beta,0.9,0.0,0.0,0.0017694075928487538,0.0016261681852208032
risk oc tubal ligation,0.98,0.75,1.0,5.0,1.0,beta,0.2,248.0,0.0,0.9999322223419351,0.1992729081277497
risk ac death oc surg,1,1.0,1.4,,,beta,0.2,,,,
sens endo surv,0.91,0.8190000000000001,0.98,77.28535201062668,7.643606242809223,beta,0.01,8.0,1.0,0.9803805458322002,0.797966391049173
spec endo surv,0.96,0.94,0.98,1650.390625000003,68.76627604166691,beta,0.001,0.0,0.0,0.9742479801884494,0.9414203958814027
sens oc surv,0.6,0.54,0.6599999999999999,136.11111111111114,90.74074074074078,beta,0.05,36.0,25.0,0.7175911280350591,0.4979892991321161
spec oc surv,0.96,0.8657999999999999,0.98,1650.390625000003,68.76627604166691,beta,0.001,0.0,0.0,0.9762648095206572,0.9430251471053389
local oc surv,0.924,0.7392000000000001,0.98,51.020408163265245,4.196483788320517,beta,0.01,1.0,20.0,0.9952012880727479,0.7031307624293562
regional oc surv,0.752,0.6016,0.9024,27.730307831598004,9.145101518931256,beta,0.05,26.0,5.0,0.9140527774898584,0.47857315680319307
distant oc surv,0.292,0.23359999999999997,0.3504,162.30061925314314,393.52341928501835,beta,0.15,2.0,2.0,0.35624494779858595,0.22225741560688606
local ec surv,0.95,0.76,0.98,89.75069252077581,4.723720658988196,beta,0.005,0.0,62.0,0.9935709428271441,0.8539409061960405
regional ec surv,0.69,0.5519999999999999,0.98,56.794791010291995,25.51650030897178,beta,0.05,3.0,0.0,0.8172677318218645,0.5471702698324702
distant ec surv,0.168,0.13440000000000002,0.2016,111.41975308641972,551.7930629041738,beta,0.3,8.0,19.0,0.22124552369854708,0.124726418299251
oc lifetime risk,0,-5.0,5.0,,,normal,0.0,,,,
ec lifetime risk,0,-5.0,5.0,,,normal,0.0,,,,
oc stage dist nat hist,"[0.16, 0.23, 0.61]",0.1,0.2,,,beta,0.005,,,,
ec stage dist nat hist,"[0.73, 0.19, 0.08]",0.576,0.864,,,beta,0.005,,,,
oc stage dist intervention,"[0.8, 0.05, 0.15]",0.6,0.85,,,beta,0.061,,,,
ec stage dist intervention,"[0.86, 0.13, 0.01]",0.72,0.98,,,beta,0.072,,,,
surgical complications,0.03004826405106648,0.01,0.044,2248.626916158822,72585.21081694022,beta,0.4,0.0,0.0,0.0319217978689757,0.028274164923053638
