gene,param value_min,changed param,total QALYs disc_min,total disc cost_min,cost per QALY_min,total LE_min,icers_min,param value_max,strategy,pretty_strategy,total QALYs disc_max,total disc cost_max,cost per QALY_max,total LE_max,formatted_param,icers_max,comparator,pretty_comparator,bc_icer,icer_diff,width_upper,width_lower,order
MLH1,43801.042669999995,cost init OC local,22.46775866491148,15887.468343805915,707.1229747815395,45.972678397218566,33138.58977041419,66920.48512,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16047.751537582306,714.2568948207781,45.972678397218566,Cost FY Local OC,33578.759489106385,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,440.1697186921956,309.7206034215924,130.44911527060322,0
MLH1,58997.86886,cost init OC regional,22.46775866491148,15846.98769897312,705.3212532375024,45.972678397218566,33002.17887732105,91608.48623000001,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16106.45894517965,716.8698571759876,45.972678397218566,Cost FY Regional OC,33789.18353541142,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,787.0046580903727,520.1446497266297,266.86000836374296,1
MLH1,92875.06795,cost init OC distant,22.46775866491148,15841.201920484882,705.0637385216588,45.972678397218566,32984.83055144357,133783.40349,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16705.766262314773,743.543960546658,45.972678397218566,Cost FY Distant OC,35605.29939459888,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,2620.4688431553077,2336.260508914085,284.2083342412225,2
MLH1,5913.50032,cost OC local,22.46775866491148,15870.831486677424,706.382497844048,45.972678397218566,33106.32298403367,8769.72808,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16178.5329171095,720.0777415495371,45.972678397218566,Cost Local OC,33886.94440867892,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,780.621424645251,617.9055229941296,162.71590165112138,3
MLH1,5913.50032,cost OC regional,22.46775866491148,15887.316917062337,707.1162350463555,45.972678397218566,33127.96056986596,8769.72808,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16115.930317237986,717.2914111102093,45.972678397218566,Cost Regional OC,33804.77675539852,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,676.8161855325598,535.7378697137246,141.0783158188351,4
MLH1,5913.50032,cost OC distant,22.46775866491148,15895.805267949045,707.494036455624,45.972678397218566,33150.717595284594,8769.72808,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16083.69622800147,715.8567290968736,45.972678397218566,Cost Distant OC,33718.358086107946,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,567.6404908233526,449.31920042315323,118.32129040019936,5
MLH1,80951.06985,cost end OC,22.46775866491148,15862.265371692007,706.0012352929776,45.972678397218566,33052.489552044455,115848.41759,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16729.69138060217,744.6088250328855,45.972678397218566,Cost End of Life OC,35636.10037368611,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,2583.610821641654,2367.0614880013163,216.54933364033786,6
MLH1,21707.3626,cost init EC local,22.46775866491148,15923.595712426402,708.7309397396511,45.972678397218566,33269.03888568447,31330.99441,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,16021.873979154394,713.1051306945093,45.972678397218566,Cost FY Local EC,33269.03888568447,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,0.0,-3.2014213502407074e-10,3.2014213502407074e-10,7
MLH1,38837.44851,cost init EC regional,22.46775866491148,15925.902985353083,708.833632356262,45.972678397218566,33269.03888568448,57313.50374,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,15972.975856089904,710.9287621570968,45.972678397218566,Cost FY Regional EC,33269.03888568446,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,2.1827872842550278e-11,-3.346940502524376e-10,3.128661774098873e-10,8
MLH1,61146.864310000004,cost init EC distant,22.46775866491148,15924.842152405483,708.7864165674767,45.972678397218566,33269.03888568448,93713.10526000001,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.46775866491148,15958.066733963538,710.2651836333677,45.972678397218566,Cost FY Distant EC,33269.03888568447,"HSBO: 40, Survey: Never",Hyst-BSO: 40,33269.03888568479,7.275957614183426e-12,-3.2014213502407074e-10,3.128661774098873e-10,9
