,gene,strategy,total QALYs disc,total LE,Cancer Incidence (Mortality),icers,total disc cost,OC Incidence (Mortality),EC Incidence (Mortality)
0,MLH1,"Hyst-BSO: 35, Survey: 30",22.06,47.09,1.63% (1.02%),Dominated,"$12,816.10",0.84% (0.69%),0.79% (0.34%)
1,MLH1,"Hyst-BSO: 40, Survey: 30",22.17,46.89,2.81% (1.78%),Dominated,"$15,809.93",1.44% (1.22%),1.37% (0.56%)
2,MLH1,"Hyst-BSO: 50, Survey: 30",22.12,46.33,9.18% (4.70%),Dominated,"$20,187.34",2.94% (2.47%),6.24% (2.23%)
3,MLH1,Survey Alone: 30,22.05,46.16,13.23% (6.06%),Dominated,"$21,891.50",3.70% (3.08%),9.52% (2.99%)
4,MLH1,"Hyst-BSO: 40, Survey: 35",22.24,46.75,3.53% (2.30%),Dominated,"$12,412.21",1.81% (1.54%),1.72% (0.76%)
5,MLH1,"Hyst-BSO: 50, Survey: 35",22.18,45.98,12.13% (6.23%),Dominated,"$18,317.87",3.83% (3.22%),8.30% (3.01%)
6,MLH1,Survey Alone: 35,22.09,45.76,17.59% (8.07%),Dominated,"$20,616.99",4.86% (4.03%),12.72% (4.04%)
7,MLH1,Hyst-BSO: 35,22.09,47.01,1.94% (1.27%),$0.00,"$8,016.73",1.00% (0.82%),0.95% (0.46%)
8,MLH1,Hyst-BSO: 40,22.27,46.68,3.84% (2.54%),"$2,032.00","$8,374.05",1.97% (1.66%),1.87% (0.89%)
9,MLH1,Hyst-BSO: 50,22.09,45.07,19.62% (10.56%),Dominated,"$12,811.76",5.68% (4.69%),13.94% (5.87%)
10,MLH1,No Intervention,21.74,44.13,42.30% (18.89%),Dominated,"$14,747.96",9.77% (7.63%),32.54% (11.26%)
11,MLH1,Two-Stage Approach,22.55,46.21,6.45% (4.69%),"$16,842.62","$13,178.36",4.58% (3.80%),1.87% (0.89%)
12,MSH2,"Hyst-BSO: 35, Survey: 30",22.04,47.05,1.88% (1.16%),Dominated,"$12,966.88",0.92% (0.76%),0.96% (0.41%)
13,MSH2,"Hyst-BSO: 40, Survey: 30",22.14,46.83,3.24% (2.02%),Dominated,"$16,042.95",1.58% (1.34%),1.66% (0.68%)
14,MSH2,"Hyst-BSO: 50, Survey: 30",21.97,45.94,11.90% (6.43%),Dominated,"$21,706.66",4.57% (3.81%),7.33% (2.62%)
15,MSH2,Survey Alone: 30,21.89,45.76,17.16% (8.02%),Dominated,"$23,358.87",5.13% (4.26%),12.03% (3.75%)
16,MSH2,"Hyst-BSO: 40, Survey: 35",22.21,46.66,4.07% (2.61%),Dominated,"$12,713.31",1.99% (1.69%),2.08% (0.92%)
17,MSH2,"Hyst-BSO: 50, Survey: 35",21.97,45.46,15.76% (8.55%),Dominated,"$20,354.96",6.02% (5.01%),9.74% (3.54%)
18,MSH2,Survey Alone: 35,21.87,45.21,22.86% (10.69%),Dominated,"$22,584.18",6.78% (5.63%),16.08% (5.07%)
19,MSH2,Hyst-BSO: 35,22.07,46.96,2.24% (1.45%),$0.00,"$8,207.64",1.10% (0.90%),1.15% (0.55%)
20,MSH2,Hyst-BSO: 40,22.23,46.58,4.43% (2.89%),"$3,277.22","$8,722.31",2.16% (1.82%),2.26% (1.08%)
21,MSH2,Hyst-BSO: 50,21.74,44.15,25.82% (14.68%),Dominated,"$16,561.77",9.54% (7.81%),16.28% (6.87%)
22,MSH2,No Intervention,21.30,43.03,54.94% (24.87%),Dominated,"$19,603.27",13.32% (10.40%),41.62% (14.47%)
23,MSH2,Two-Stage Approach,22.33,45.63,9.73% (7.20%),"$63,848.23","$15,651.84",7.46% (6.12%),2.26% (1.08%)
24,MSH6,"Hyst-BSO: 35, Survey: 30",22.03,47.04,1.92% (1.20%),Dominated,"$13,014.78",0.96% (0.79%),0.96% (0.41%)
25,MSH6,"Hyst-BSO: 40, Survey: 30",22.13,46.81,3.31% (2.08%),Dominated,"$16,118.60",1.65% (1.41%),1.65% (0.68%)
26,MSH6,"Hyst-BSO: 50, Survey: 30",22.14,46.38,8.28% (4.31%),Dominated,"$19,949.81",2.70% (2.30%),5.58% (2.02%)
27,MSH6,Survey Alone: 30,22.07,46.21,13.37% (5.85%),Dominated,"$21,739.10",3.40% (2.82%),9.96% (3.03%)
28,MSH6,"Hyst-BSO: 40, Survey: 35",22.20,46.64,4.16% (2.68%),Dominated,"$12,808.95",2.08% (1.76%),2.08% (0.92%)
29,MSH6,"Hyst-BSO: 50, Survey: 35",22.21,46.06,10.87% (5.69%),Dominated,"$17,978.18",3.49% (2.96%),7.38% (2.73%)
30,MSH6,Survey Alone: 35,22.11,45.83,17.73% (7.77%),Dominated,"$20,392.37",4.44% (3.68%),13.29% (4.09%)
31,MSH6,Hyst-BSO: 35,22.06,46.95,2.29% (1.49%),$0.00,"$8,265.97",1.15% (0.94%),1.15% (0.55%)
32,MSH6,Hyst-BSO: 40,22.22,46.55,4.52% (2.98%),"$3,693.04","$8,828.76",2.26% (1.90%),2.26% (1.07%)
33,MSH6,Hyst-BSO: 50,22.19,45.32,16.86% (9.15%),Dominated,"$11,831.09",4.86% (4.06%),12.00% (5.10%)
34,MSH6,No Intervention,21.78,44.26,46.14% (19.34%),Dominated,"$14,586.80",9.13% (6.97%),37.01% (12.36%)
35,MSH6,Two-Stage Approach,22.55,46.23,6.33% (4.49%),"$12,463.01","$12,975.73",4.07% (3.42%),2.26% (1.07%)
36,PMS2,"Hyst-BSO: 35, Survey: 30",22.18,47.39,0.08% (0.03%),Dominated,"$11,625.46",0.00% (0.00%),0.08% (0.03%)
37,PMS2,"Hyst-BSO: 40, Survey: 30",22.37,47.39,0.14% (0.06%),Dominated,"$13,934.04",0.00% (0.00%),0.14% (0.06%)
38,PMS2,"Hyst-BSO: 50, Survey: 30",22.57,47.38,0.33% (0.12%),Dominated,"$16,335.03",0.00% (0.00%),0.33% (0.12%)
39,PMS2,Survey Alone: 30,22.53,47.27,2.90% (1.07%),Dominated,"$18,103.56",0.69% (0.51%),2.21% (0.55%)
40,PMS2,"Hyst-BSO: 40, Survey: 35",22.51,47.38,0.17% (0.08%),Dominated,"$10,011.76",0.00% (0.00%),0.17% (0.08%)
41,PMS2,"Hyst-BSO: 50, Survey: 35",22.77,47.38,0.44% (0.17%),Dominated,"$13,249.52",0.00% (0.00%),0.44% (0.17%)
42,PMS2,Survey Alone: 35,22.71,47.23,3.90% (1.44%),Dominated,"$15,634.41",0.93% (0.69%),2.97% (0.74%)
43,PMS2,Hyst-BSO: 35,22.25,47.38,0.09% (0.05%),Dominated,"$6,535.37",0.00% (0.00%),0.09% (0.05%)
44,PMS2,Hyst-BSO: 40,22.56,47.38,0.19% (0.09%),Dominated,"$5,643.05",0.00% (0.00%),0.19% (0.09%)
45,PMS2,Hyst-BSO: 50,23.04,47.36,0.68% (0.29%),"$1,968.77","$4,256.43",0.00% (0.00%),0.68% (0.29%)
46,PMS2,No Intervention,22.82,46.76,15.03% (5.84%),$0.00,"$3,829.40",3.53% (2.52%),11.50% (3.32%)
47,PMS2,Two-Stage Approach,23.04,47.40,0.19% (0.09%),Dominated,"$8,473.23",0.00% (0.00%),0.19% (0.09%)
