gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY,icers
MLH1,"HSBO: 35, Survey: 30",40.71000256151025,22.07159307218528,47.142728087694564,0.0,0.977617973311716,0.0,0.2544243378368788,13583.617888102483,17935.23624351147,0.0083598394137725,0.0058010162933626,0.0079412950868222,0.0033508757216914,0.0163011345005948,0.0091518920150541,0.0016678626438596,0.408,0.1508,0.5588,,,615.4344112668795,
MLH1,"HSBO: 40, Survey: 30",40.80795034967692,22.19700074357382,46.98788378455932,0.0,0.9626039487234548,0.0,0.4399816993727548,16840.247367411976,23797.676259517433,0.0144056166894854,0.0100619882851262,0.013686090482717,0.0056003168657673,0.0280917071722025,0.0156623051508936,0.0016410502527545,0.408,0.1508,0.5588,,,758.6721990937149,
MLH1,"HSBO: 50, Survey: 30",40.5150235836343,22.168443000846505,46.5024528321978,0.0,0.8922234207253964,0.0,0.6593321422323647,21811.401082278313,34808.050314998356,0.0293594378488808,0.019773339317007,0.0624274736593101,0.0222519992958863,0.091786911508191,0.0420253386128934,0.0015252897727675,0.408,0.1508,0.5588,,,983.8941364283203,
MLH1,"HSBO: Never, Survey: 30",40.14414432414445,22.043852179483817,46.13780877470942,0.0,0.8068206715333235,0.0,0.8068206715333235,24006.83822174886,40856.07851010294,0.0398981070160447,0.0327345850465168,0.098314667303818,0.0303546695566397,0.1382127743198627,0.0630892546031565,0.0013716711094577,0.408,0.1508,0.5588,,,1089.049138339441,
MLH1,"HSBO: 40, Survey: 35",40.81800664271964,22.26048872598956,46.804626459445224,0.0,0.953603425772433,0.0,0.2485233749558244,13406.497718164022,20476.54278130692,0.0181247843521519,0.0138986752465264,0.0172159788915075,0.0075933010974645,0.0353407632436595,0.021491976343991,0.0016273635333042,0.408,0.1508,0.5588,,,602.2553180744712,
MLH1,"HSBO: 50, Survey: 35",40.42281332796229,22.221960908395882,46.14972192565577,0.0,0.8586516583744268,0.0,0.5444534115936577,20113.179873869787,35330.85697897707,0.03829928131639,0.0270004516970381,0.0829739464669805,0.030058416405121,0.1212732277833705,0.0570588681021592,0.0014711887718714,0.408,0.1508,0.5588,,,905.1037375495806,
MLH1,"HSBO: Never, Survey: 35",39.96904739807013,22.07580272851124,45.72644955520425,0.0,0.7434331141677147,0.0,0.7434331141677147,23072.173711805797,43689.997413950536,0.0525172090857398,0.0430131248529102,0.1313900717849738,0.0409898896944808,0.1839072808707136,0.084003014547391,0.001263938783821,0.408,0.1508,0.5588,,,1045.1340771408384,
MLH1,"HSBO: 35, Survey: Never",40.685863337409295,22.091298747137184,47.013529982513596,0.0,0.9738591443776112,0.0,0.0,8641.853298490454,12068.733704030437,0.0099683062188892,0.0081501133507913,0.0094655613868933,0.0045585353978708,0.0194338676057825,0.0127086487486621,0.0016635366623786,0.408,0.1508,0.5588,,,391.1881052086335,0.0
MLH1,"HSBO: 40, Survey: Never",40.784264506692175,22.267145939141706,46.675395000461144,0.0,0.9496628970807018,0.0,0.0,9260.77744852168,14741.090608353094,0.0196991105218074,0.0165616802342504,0.0187055991075023,0.008887985711154,0.0384047096293098,0.0254496659454044,0.001622844089211,0.408,0.1508,0.5588,,,415.8942270299163,3519.670362523108
MLH1,"HSBO: 50, Survey: Never",39.77874853277843,22.088500487180863,45.070752937906924,0.0,0.7746934334155815,0.0,0.0,15060.363499224943,30176.125818038898,0.0567680263921268,0.0469018126070309,0.139388968230795,0.0586923705300076,0.1961569946229218,0.1055941831370386,0.0013453407684675,0.408,0.1508,0.5588,,,681.8191894902633,
