gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value
MLH1,"HSBO: 40, Survey: Never",40.78426450669218,22.26714593914171,46.675395000461144,0.0,0.9496628970807018,0.0,0.0,8374.053299372994,13302.862514733419,0.019699110521807492,0.016561680234250423,0.0187055991075024,0.008887985711154069,0.038404709629309884,0.02544966594540449,0.0016228440892110108,0.37,0.12,0.49,cost init surveillance,1475.16672
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.12370220099446,22.552392707151316,46.207562876854595,0.0,0.8760799498300502,0.04749301336774374,0.0,13178.357514181027,23291.598577558307,0.04578904440471584,0.03802621636530136,0.0187055991075024,0.008887985711154069,0.06449464351221823,0.046914202076455434,0.0015446305014221306,0.37,0.12,0.49,cost init surveillance,1475.16672
MSH2,"HSBO: 40, Survey: Never",40.68497211751525,22.226273877355997,46.57880990767861,0.0,0.9438427875400934,0.0,0.0,8722.309231542127,13886.415203337443,0.021629527416283524,0.018187060641255325,0.022623056632530204,0.01075058128058431,0.04425258404881373,0.028937641921839632,0.0016138904728619564,0.489,0.174,0.6629999999999999,cost init surveillance,1475.16672
MSH2,"Hyst+Salp: 40, Oophorectomy: 50",40.53552614992223,22.33480519376686,45.62769476961987,0.0,0.8446470507106429,0.046187611344773005,0.0,15651.841278733742,28292.52029297344,0.07463765290096136,0.06120114727595315,0.022623056632530204,0.01075058128058431,0.09726070953349156,0.07195172855653746,0.0014938889298710231,0.489,0.174,0.6629999999999999,cost init surveillance,1475.16672
MSH6,"HSBO: 40, Survey: Never",40.66112478038692,22.2162235962484,46.55363832871804,0.0,0.9428745626783764,0.0,0.0,8828.759779624597,14057.323622967335,0.022612716695639447,0.019014190968566082,0.022612716695639447,0.010745869757923259,0.045225433391278894,0.02976006072648934,0.001612400427456817,0.42100000000000004,0.11800000000000001,0.5389999999999999,cost init surveillance,1475.16672
MSH6,"Hyst+Salp: 40, Oophorectomy: 50",41.136327263844,22.54896564681387,46.2257541084722,0.0,0.8773780745668894,0.04744820130387981,0.0,12975.726847285667,22669.32481489357,0.04066100350324703,0.03416381384873168,0.022612716695639447,0.010745869757923259,0.06327372019888647,0.04490968360665494,0.0015455380324381634,0.42100000000000004,0.11800000000000001,0.5389999999999999,cost init surveillance,1475.16672
PMS2,"HSBO: 50, Survey: Never",42.31555901138022,23.04030759354814,47.36085618160198,0.0,0.9615222537047986,0.0,0.0,4256.433357214619,8900.955178386726,0.0,0.0,0.006789517384453046,0.0029204608177456704,0.006789517384453046,0.0029204608177456704,0.0016402221332388663,0.1278,0.04,0.1678,cost init surveillance,1475.16672
PMS2,Nat Hist,41.56929387660047,22.823404539627738,46.75663310976222,0.6379460089735569,0.0,0.0,0.0,3829.402081877061,10923.091399544839,0.035257628024046916,0.02521496405110664,0.11499766073335005,0.033166795679711814,0.15025528875739694,0.05838175973081845,0.0,0.1278,0.04,0.1678,cost init surveillance,1475.16672
MLH1,"HSBO: 40, Survey: Never",40.78426450669218,22.26714593914171,46.675395000461144,0.0,0.9496628970807018,0.0,0.0,8374.053299372994,13302.862514733419,0.019699110521807492,0.016561680234250423,0.0187055991075024,0.008887985711154069,0.038404709629309884,0.02544966594540449,0.0016228440892110108,0.37,0.12,0.49,cost init surveillance,2212.75008
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.12370220099446,22.552392707151316,46.207562876854595,0.0,0.8760799498300502,0.04749301336774374,0.0,13178.357514181027,23291.598577558307,0.04578904440471584,0.03802621636530136,0.0187055991075024,0.008887985711154069,0.06449464351221823,0.046914202076455434,0.0015446305014221306,0.37,0.12,0.49,cost init surveillance,2212.75008
MSH2,"HSBO: 40, Survey: Never",40.68497211751525,22.226273877355997,46.57880990767861,0.0,0.9438427875400934,0.0,0.0,8722.309231542127,13886.415203337443,0.021629527416283524,0.018187060641255325,0.022623056632530204,0.01075058128058431,0.04425258404881373,0.028937641921839632,0.0016138904728619564,0.489,0.174,0.6629999999999999,cost init surveillance,2212.75008
MSH2,"Hyst+Salp: 40, Oophorectomy: 50",40.53552614992223,22.33480519376686,45.62769476961987,0.0,0.8446470507106429,0.046187611344773005,0.0,15651.841278733742,28292.52029297344,0.07463765290096136,0.06120114727595315,0.022623056632530204,0.01075058128058431,0.09726070953349156,0.07195172855653746,0.0014938889298710231,0.489,0.174,0.6629999999999999,cost init surveillance,2212.75008
MSH6,"HSBO: 40, Survey: Never",40.66112478038692,22.2162235962484,46.55363832871804,0.0,0.9428745626783764,0.0,0.0,8828.759779624597,14057.323622967335,0.022612716695639447,0.019014190968566082,0.022612716695639447,0.010745869757923259,0.045225433391278894,0.02976006072648934,0.001612400427456817,0.42100000000000004,0.11800000000000001,0.5389999999999999,cost init surveillance,2212.75008
MSH6,"Hyst+Salp: 40, Oophorectomy: 50",41.136327263844,22.54896564681387,46.2257541084722,0.0,0.8773780745668894,0.04744820130387981,0.0,12975.726847285667,22669.32481489357,0.04066100350324703,0.03416381384873168,0.022612716695639447,0.010745869757923259,0.06327372019888647,0.04490968360665494,0.0015455380324381634,0.42100000000000004,0.11800000000000001,0.5389999999999999,cost init surveillance,2212.75008
PMS2,"HSBO: 50, Survey: Never",42.31555901138022,23.04030759354814,47.36085618160198,0.0,0.9615222537047986,0.0,0.0,4256.433357214619,8900.955178386726,0.0,0.0,0.006789517384453046,0.0029204608177456704,0.006789517384453046,0.0029204608177456704,0.0016402221332388663,0.1278,0.04,0.1678,cost init surveillance,2212.75008
PMS2,Nat Hist,41.56929387660047,22.823404539627738,46.75663310976222,0.6379460089735569,0.0,0.0,0.0,3829.402081877061,10923.091399544839,0.035257628024046916,0.02521496405110664,0.11499766073335005,0.033166795679711814,0.15025528875739694,0.05838175973081845,0.0,0.1278,0.04,0.1678,cost init surveillance,2212.75008
MLH1,"HSBO: 40, Survey: Never",40.78426450669218,22.26714593914171,46.675395000461144,0.0,0.9496628970807018,0.0,0.0,8374.053299372994,13302.862514733419,0.019699110521807492,0.016561680234250423,0.0187055991075024,0.008887985711154069,0.038404709629309884,0.02544966594540449,0.0016228440892110108,0.37,0.12,0.49,cost surveillance,1057.3568
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.12370220099446,22.552392707151316,46.207562876854595,0.0,0.8760799498300502,0.04749301336774374,0.0,13178.357514181027,23291.598577558307,0.04578904440471584,0.03802621636530136,0.0187055991075024,0.008887985711154069,0.06449464351221823,0.046914202076455434,0.0015446305014221306,0.37,0.12,0.49,cost surveillance,1057.3568
MSH2,"HSBO: 40, Survey: Never",40.68497211751525,22.226273877355997,46.57880990767861,0.0,0.9438427875400934,0.0,0.0,8722.309231542127,13886.415203337443,0.021629527416283524,0.018187060641255325,0.022623056632530204,0.01075058128058431,0.04425258404881373,0.028937641921839632,0.0016138904728619564,0.489,0.174,0.6629999999999999,cost surveillance,1057.3568
MSH2,"Hyst+Salp: 40, Oophorectomy: 50",40.53552614992223,22.33480519376686,45.62769476961987,0.0,0.8446470507106429,0.046187611344773005,0.0,15651.841278733742,28292.52029297344,0.07463765290096136,0.06120114727595315,0.022623056632530204,0.01075058128058431,0.09726070953349156,0.07195172855653746,0.0014938889298710231,0.489,0.174,0.6629999999999999,cost surveillance,1057.3568
MSH6,"HSBO: 40, Survey: Never",40.66112478038692,22.2162235962484,46.55363832871804,0.0,0.9428745626783764,0.0,0.0,8828.759779624597,14057.323622967335,0.022612716695639447,0.019014190968566082,0.022612716695639447,0.010745869757923259,0.045225433391278894,0.02976006072648934,0.001612400427456817,0.42100000000000004,0.11800000000000001,0.5389999999999999,cost surveillance,1057.3568
