,gene,param value_min,changed param,total QALYs disc_min,total disc cost_min,cost per QALY_min,total LE_min,icers_min,param value_max,strategy,pretty_strategy,total QALYs disc_max,total disc cost_max,cost per QALY_max,total LE_max,formatted_param,icers_max,comparator,pretty_comparator,bc_icer,icer_diff,width_upper,width_lower,order
19,PMS2,35863.3363,cost init OC local,23.04030759354814,4256.433357214619,184.73856479270816,47.360856181601974,2024.4551058843592,47083.3805,"HSBO: 50, Survey: Never",Hyst-BSO: 50,23.04030759354814,4256.433357214619,184.73856479270816,47.360856181601974,Cost FY Local OC,1913.076133249442,Nat Hist,No Intervention,1968.765619566937,111.37897263491732,-55.68948631749504,-55.68948631742228,0
18,MSH2,35863.3363,cost init OC local,22.33480519376686,15602.652924616235,698.5802109870465,45.627694769619865,63571.60471881296,47083.3805,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.33480519376686,15701.029632851247,702.984847937382,45.627694769619865,Cost FY Local OC,64124.84781399983,"HSBO: 40, Survey: Never",Hyst-BSO: 40,63848.22626640432,553.2430951868737,276.6215475955105,276.6215475913632,0
17,MLH1,35863.3363,cost init OC local,22.552392707151323,13148.111503278416,583.0029511285151,46.2075628768546,16797.82159374371,47083.3805,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.552392707151323,13208.60352508364,585.6852395486719,46.2075628768546,Cost FY Local OC,16887.427486071756,"HSBO: 40, Survey: Never",Hyst-BSO: 40,16842.62453990795,89.60589232804705,44.802946163807064,44.802946164239984,0
16,MSH6,35863.3363,cost init OC local,22.54896564681387,12948.849211832425,574.2546870952405,46.2257541084722,12442.445733177223,47083.3805,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.54896564681387,13002.604482738921,576.6386222055453,46.2257541084722,Cost FY Local OC,12483.571646433194,"HSBO: 40, Survey: Never",Hyst-BSO: 40,12463.00868980546,41.12591325597168,20.56295662773482,20.56295662823686,0
14,MSH2,48306.1654,cost init OC regional,22.33480519376686,15562.12224249542,696.7655239204172,45.627694769619865,63307.00252749708,66412.4193,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.33480519376686,15741.546745849831,704.7989274714131,45.627694769619865,Cost FY Regional OC,64389.368150545815,"HSBO: 40, Survey: Never",Hyst-BSO: 40,63848.22626640432,1082.3656230487322,541.1418841414925,541.2237389072397,1
15,MLH1,48306.1654,cost init OC regional,22.552392707151323,13120.362137955502,581.7725111621999,46.2075628768546,16738.184861285456,66412.4193,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.552392707151323,13236.344119176023,586.9152905881604,46.2075628768546,Cost FY Regional OC,16947.048423055297,"HSBO: 40, Survey: Never",Hyst-BSO: 40,16842.62453990795,208.8635617698419,104.42388314734853,104.43967862249337,1
13,MSH6,48306.1654,cost init OC regional,22.54896564681387,12921.826753584628,573.0562969486125,46.2257541084722,12398.362071647989,66412.4193,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.54896564681387,13029.618789127402,577.836650834069,46.2257541084722,Cost FY Regional OC,12527.6455307969,"HSBO: 40, Survey: Never",Hyst-BSO: 40,12463.00868980546,129.2834591489118,64.6368409914412,64.64661815747058,1
12,PMS2,48306.1654,cost init OC regional,23.04030759354814,4256.433357214619,184.73856479270816,47.360856181601974,2097.9612859266363,66412.4193,"HSBO: 50, Survey: Never",Hyst-BSO: 50,23.04030759354814,4256.433357214619,184.73856479270816,47.360856181601974,Cost FY Regional OC,1839.5894927816335,Nat Hist,No Intervention,1968.765619566937,258.3717931450028,-129.1761267853035,-129.19566635969932,1
0,MSH2,76044.0755,cost init OC distant,22.33480519376686,15556.211233257234,696.5008693068262,45.627694769619865,63271.640648409484,83310.9506,"Hyst+Salp: 40, Oophorectomy: 50",Two-Stage Approach,22.33480519376686,15747.507370213068,705.0658035113663,45.627694769619865,Cost FY Distant OC,64425.02921784394,"HSBO: 40, Survey: Never",Hyst-BSO: 40,63848.22626640432,1153.3885694344572,576.8029514396185,576.5856179948387,2
2,PMS2,76044.0755,cost init OC distant,23.04030759354814,4256.433357214619,184.73856479270816,47.360856181601974,2106.2503132331954,83310.9506,"HSBO: 50, Survey: Never",Hyst-BSO: 50,23.04030759354814,4256.433357214619,184.73856479270816,47.360856181601974,Cost FY Distant OC,1831.2291035509375,Nat Hist,No Intervention,1968.765619566937,275.0212096822579,-137.5365160159995,-137.4846936662584,2
