gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY
MLH1,"HSBO: 40, Survey: Never",40.79335760843117,22.270835050974664,46.68624761270341,0.0,0.9496628970807021,0.0,0.0,8375.838681700228,13305.644082225426,0.019699110521807495,0.016561680234250423,0.018705599107502396,0.008887985711154069,0.03840470962930989,0.025449665945404494,0.0012982752713688087,0.37,0.12,0.49,surgical mortality,0.0013599999999999999,376.09001469990534
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.13927224489699,22.558367403268026,46.22567595322861,0.0,0.876379844595414,0.047184159869882475,0.0,13182.660406601846,23299.643738705006,0.04579800313721332,0.038033357445496054,0.018705599107502396,0.008887985711154069,0.06450360224471571,0.04692134315665012,0.0012361274005243587,0.37,0.12,0.49,surgical mortality,0.0013599999999999999,584.3800737411555
MSH2,"HSBO: 40, Survey: Never",40.69401505045186,22.229942635482605,46.58960264348109,0.0,0.9438427875400937,0.0,0.0,8724.084763490946,13889.18142426083,0.021629527416283524,0.018187060641255325,0.022623056632530204,0.01075058128058431,0.04425258404881373,0.028937641921839632,0.0012911123782895651,0.489,0.174,0.663,surgical mortality,0.0013599999999999999,392.4474708074994
MSH2,"Hyst+Salp: 40, Oophorectomy: 50",40.55066974304306,22.340627228654228,45.64533890433448,0.0,0.844936336937683,0.04588011274046154,0.0,15656.836997133934,28302.01119525968,0.07465586527823283,0.061215676163051895,0.022623056632530204,0.01075058128058431,0.09727892191076304,0.0719662574436362,0.0011955204618402369,0.489,0.174,0.663,surgical mortality,0.0013599999999999999,700.8235192722063
MSH6,"HSBO: 40, Survey: Never",40.6701593643179,22.219888967146282,46.56442109998659,0.0,0.9428745626783763,0.0,0.0,8830.533672290409,14060.087289941215,0.022612716695639447,0.019014190968566082,0.022612716695639447,0.010745869757923259,0.045225433391278894,0.02976006072648934,0.0012899203419654535,0.421,0.118,0.5389999999999999,surgical mortality,0.0013599999999999999,397.41574250649916
MSH6,"Hyst+Salp: 40, Oophorectomy: 50",41.151890056960156,22.554934597798855,46.24385084727804,0.0,0.8776786375471215,0.04714143638061256,0.0,12979.793630615153,22676.884317233642,0.0406672054462823,0.03416875633425128,0.022612716695639447,0.010745869757923259,0.06327992214192174,0.04491462609217454,0.001236853989320127,0.421,0.118,0.5389999999999999,surgical mortality,0.0013599999999999999,575.4746738162502
PMS2,Nat Hist,41.56929387660047,22.823404539627738,46.75663310976222,0.6379460089735569,0.0,0.0,0.0,3829.40208187706,10923.091399544839,0.035257628024046916,0.02521496405110664,0.11499766073335006,0.03316679567971181,0.15025528875739697,0.058381759730818446,0.0,0.1278,0.04,0.1678,surgical mortality,0.0013599999999999999,167.7839988871143
PMS2,"HSBO: 50, Survey: Never",42.32230560717394,23.042627716139524,47.36872617775216,0.0,0.9615222537047984,0.0,0.0,4257.776075349094,8903.766531982437,0.0,0.0,0.006789517384453046,0.0029204608177456704,0.006789517384453046,0.0029204608177456704,0.001312177706591093,0.1278,0.04,0.1678,surgical mortality,0.0013599999999999999,184.77823483503408
MLH1,"HSBO: 40, Survey: Never",40.77517140495322,22.263456827308765,46.66454238821886,0.0,0.9496628970807017,0.0,0.0,8372.26791704576,13300.080947241415,0.019699110521807495,0.016561680234250423,0.018705599107502396,0.008887985711154069,0.03840470962930989,0.025449665945404494,0.0019474129070532133,0.37,0.12,0.49,surgical mortality,0.00204,376.0542660552238
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.10813650681665,22.54641950688448,46.18945487449384,0.0,0.8757800550646861,0.04780186686560501,0.0,13174.055219020303,23283.554666941614,0.04578008567221836,0.03801907528510669,0.018705599107502396,0.008887985711154069,0.06448568477972076,0.046907060996260755,0.0018529221026265751,0.37,0.12,0.49,surgical mortality,0.00204,584.3080855919338
