gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY,icers
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",40.88707727236631,22.467103215932834,45.972678397218566,0.0,0.8634156099182654,0.0470003296260798,0.0,15934.970023119404,28614.030351271493,0.0589460680581647,0.0485234355691594,0.0187055991075023,0.008887985711154,0.0776516671656671,0.0574114212803134,0.0015245912395754,0.408,0.1508,0.5588,U HSBO,0.86,709.2578811770854,17247.047159718266
MLH1,"HSBO: 50, Survey: 35",40.24507574223607,22.119502822325078,46.14972192565577,0.0,0.8586516583744268,0.0,0.5444534115936577,20113.179873869787,35330.85697897707,0.03829928131639,0.0270004516970381,0.0829739464669805,0.030058416405121,0.1212732277833705,0.0570588681021592,0.0014711887718714,0.408,0.1508,0.5588,U HSBO,0.86,909.2962005262468,
MLH1,"HSBO: 50, Survey: Never",39.77874853277843,22.088500487180863,45.070752937906924,0.0,0.7746934334155815,0.0,0.0,15060.363499224943,30176.125818038898,0.0567680263921268,0.0469018126070309,0.139388968230795,0.0586923705300076,0.1961569946229218,0.1055941831370386,0.0013453407684675,0.408,0.1508,0.5588,U HSBO,0.86,681.8191894902633,
MLH1,"HSBO: 40, Survey: Never",40.453069183643564,22.080127259249316,46.675395000461144,0.0,0.9496628970807018,0.0,0.0,9260.77744852168,14741.090608353094,0.0196991105218074,0.0165616802342504,0.0187055991075023,0.008887985711154,0.0384047096293098,0.0254496659454044,0.001622844089211,0.408,0.1508,0.5588,U HSBO,0.86,419.4168511706544,2057.463148940113
MLH1,"HSBO: 40, Survey: 35",40.45799874168966,22.053745280107485,46.804626459445224,0.0,0.953603425772433,0.0,0.2485233749558244,13406.497718164022,20476.54278130692,0.0181247843521519,0.0138986752465264,0.0172159788915075,0.0075933010974645,0.0353407632436595,0.021491976343991,0.0016273635333042,0.408,0.1508,0.5588,U HSBO,0.86,607.901177232545,
MLH1,"HSBO: 50, Survey: 30",40.21761993553079,21.985262332380067,46.5024528321978,0.0,0.8922234207253964,0.0,0.6593321422323647,21811.401082278313,34808.050314998356,0.0293594378488808,0.019773339317007,0.0624274736593101,0.0222519992958863,0.091786911508191,0.0420253386128934,0.0015252897727675,0.408,0.1508,0.5588,U HSBO,0.86,992.0919183281388,
MLH1,"HSBO: Never, Survey: 35",39.79130981234391,21.97334464244043,45.72644955520425,0.0,0.7434331141677147,0.0,0.7434331141677147,23072.173711805797,43689.997413950536,0.0525172090857398,0.0430131248529102,0.1313900717849738,0.0409898896944808,0.1839072808707136,0.084003014547391,0.001263938783821,0.408,0.1508,0.5588,U HSBO,0.86,1050.0073651620169,
MLH1,"HSBO: 40, Survey: 30",40.375443570994705,21.936521264488942,46.98788378455932,0.0,0.9626039487234548,0.0,0.4399816993727548,16840.247367411976,23797.676259517433,0.0144056166894854,0.0100619882851262,0.013686090482717,0.0056003168657673,0.0280917071722025,0.0156623051508936,0.0016410502527545,0.408,0.1508,0.5588,U HSBO,0.86,767.6808535122265,
MLH1,"HSBO: Never, Survey: 30",39.84674067604094,21.860671511017376,46.13780877470942,0.0,0.8068206715333235,0.0,0.8068206715333235,24006.83822174886,40856.07851010294,0.0398981070160447,0.0327345850465168,0.098314667303818,0.0303546695566397,0.1382127743198627,0.0630892546031565,0.0013716711094577,0.408,0.1508,0.5588,U HSBO,0.86,1098.1747843221494,
MLH1,"HSBO: 35, Survey: Never",40.175363046660365,21.779308189731566,47.013529982513596,0.0,0.9738591443776112,0.0,0.0,8641.853298490454,12068.733704030437,0.0099683062188892,0.0081501133507913,0.0094655613868933,0.0045585353978708,0.0194338676057825,0.0127086487486621,0.0016635366623786,0.408,0.1508,0.5588,U HSBO,0.86,396.79191015648905,0.0
MLH1,"HSBO: 35, Survey: 30",40.16594721308197,21.73310190903929,47.142728087694564,0.0,0.977617973311716,0.0,0.2544243378368788,13583.617888102483,17935.23624351147,0.0083598394137725,0.0058010162933626,0.0079412950868222,0.0033508757216914,0.0163011345005948,0.0091518920150541,0.0016678626438596,0.408,0.1508,0.5588,U HSBO,0.86,625.0197484443188,
MLH1,Nat Hist,38.40023816081507,21.684053255988363,43.96967068299034,0.3811170416053365,0.0,0.0,0.0,19436.894962517705,46026.107566171675,0.1165853429608761,0.0882457437457165,0.3524644910275157,0.1183025057957067,0.4690498339883918,0.2065482495414233,0.0,0.408,0.1508,0.5588,U HSBO,0.86,896.3681620340019,
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",40.88730703520051,22.46725069195303,45.972678397218566,0.0,0.8634156099182654,0.0470003296260798,0.0,15934.970023119404,28614.030351271493,0.0589460680581647,0.0485234355691594,0.0187055991075023,0.008887985711154,0.0776516671656671,0.0574114212803134,0.0015245912395754,0.408,0.1508,0.5588,U HSBO,0.869,709.2532255772062,19343.005909301737
MLH1,"HSBO: 50, Survey: 35",40.285066699024476,22.142555891691007,46.14972192565577,0.0,0.8586516583744268,0.0,0.5444534115936577,20113.179873869787,35330.85697897707,0.03829928131639,0.0270004516970381,0.0829739464669805,0.030058416405121,0.1212732277833705,0.0570588681021592,0.0014711887718714,0.408,0.1508,0.5588,U HSBO,0.869,908.3495135905813,
MLH1,"HSBO: 40, Survey: Never",40.527588131329495,22.122206462225105,46.675395000461144,0.0,0.9496628970807018,0.0,0.0,9260.77744852168,14741.090608353094,0.0196991105218074,0.0165616802342504,0.0187055991075023,0.008887985711154,0.0384047096293098,0.0254496659454044,0.001622844089211,0.408,0.1508,0.5588,U HSBO,0.869,418.61906787349494,2269.61220689326
MLH1,"HSBO: 40, Survey: 35",40.5390005194214,22.10026255543096,46.804626459445224,0.0,0.953603425772433,0.0,0.2485233749558244,13406.497718164022,20476.54278130692,0.0181247843521519,0.0138986752465264,0.0172159788915075,0.0075933010974645,0.0353407632436595,0.021491976343991,0.0016273635333042,0.408,0.1508,0.5588,U HSBO,0.869,606.6216491563574,
MLH1,"HSBO: 50, Survey: Never",39.77874853277843,22.088500487180863,45.070752937906924,0.0,0.7746934334155815,0.0,0.0,15060.363499224943,30176.125818038898,0.0567680263921268,0.0469018126070309,0.139388968230795,0.0586923705300076,0.1961569946229218,0.1055941831370386,0.0013453407684675,0.408,0.1508,0.5588,U HSBO,0.869,681.8191894902633,
MLH1,"HSBO: 50, Survey: 30",40.28453575635408,22.026477982785014,46.5024528321978,0.0,0.8922234207253964,0.0,0.6593321422323647,21811.401082278313,34808.050314998356,0.0293594378488808,0.019773339317007,0.0624274736593101,0.0222519992958863,0.091786911508191,0.0420253386128934,0.0015252897727675,0.408,0.1508,0.5588,U HSBO,0.869,990.2355292264702,
MLH1,"HSBO: Never, Survey: 35",39.83130076913232,21.99639771180636,45.72644955520425,0.0,0.7434331141677147,0.0,0.7434331141677147,23072.173711805797,43689.997413950536,0.0525172090857398,0.0430131248529102,0.1313900717849738,0.0409898896944808,0.1839072808707136,0.084003014547391,0.001263938783821,0.408,0.1508,0.5588,U HSBO,0.869,1048.9069171277088,
MLH1,"HSBO: 40, Survey: 30",40.472757596198214,21.99512914728304,46.98788378455932,0.0,0.9626039487234548,0.0,0.4399816993727548,16840.247367411976,23797.676259517433,0.0144056166894854,0.0100619882851262,0.013686090482717,0.0056003168657673,0.0280917071722025,0.0156623051508936,0.0016410502527545,0.408,0.1508,0.5588,U HSBO,0.869,765.6353029185179,
MLH1,"HSBO: Never, Survey: 30",39.913656496864235,21.901887161422326,46.13780877470942,0.0,0.8068206715333235,0.0,0.8068206715333235,24006.83822174886,40856.07851010294,0.0398981070160447,0.0327345850465168,0.098314667303818,0.0303546695566397,0.1382127743198627,0.0630892546031565,0.0013716711094577,0.408,0.1508,0.5588,U HSBO,0.869,1096.1082049602633,
MLH1,"HSBO: 35, Survey: Never",40.29022561207887,21.84950606514783,47.013529982513596,0.0,0.9738591443776112,0.0,0.0,8641.853298490454,12068.733704030437,0.0099683062188892,0.0081501133507913,0.0094655613868933,0.0045585353978708,0.0194338676057825,0.0127086487486621,0.0016635366623786,0.408,0.1508,0.5588,U HSBO,0.869,395.5171010604713,0.0
MLH1,"HSBO: 35, Survey: 30",40.28835966647833,21.809262420747135,47.142728087694564,0.0,0.977617973311716,0.0,0.2544243378368788,13583.617888102483,17935.23624351147,0.0083598394137725,0.0058010162933626,0.0079412950868222,0.0033508757216914,0.0163011345005948,0.0091518920150541,0.0016678626438596,0.408,0.1508,0.5588,U HSBO,0.869,622.8371059069103,
MLH1,Nat Hist,38.40023816081507,21.684053255988363,43.96967068299034,0.3811170416053365,0.0,0.0,0.0,19436.894962517705,46026.107566171675,0.1165853429608761,0.0882457437457165,0.3524644910275157,0.1183025057957067,0.4690498339883918,0.2065482495414233,0.0,0.408,0.1508,0.5588,U HSBO,0.869,896.3681620340019,
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",40.887536798034695,22.467398167973226,45.972678397218566,0.0,0.8634156099182654,0.0470003296260798,0.0,15934.970023119404,28614.030351271493,0.0589460680581647,0.0485234355691594,0.0187055991075023,0.008887985711154,0.0776516671656671,0.0574114212803134,0.0015245912395754,0.408,0.1508,0.5588,U HSBO,0.878,709.2485700384457,22018.8626782271
MLH1,"HSBO: 50, Survey: 35",40.32505765581286,22.165608961056943,46.14972192565577,0.0,0.8586516583744268,0.0,0.5444534115936577,20113.179873869787,35330.85697897707,0.03829928131639,0.0270004516970381,0.0829739464669805,0.030058416405121,0.1212732277833705,0.0570588681021592,0.0014711887718714,0.408,0.1508,0.5588,U HSBO,0.878,907.4047958351563,
MLH1,"HSBO: 40, Survey: Never",40.60210707901544,22.164285665200893,46.675395000461144,0.0,0.9496628970807018,0.0,0.0,9260.77744852168,14741.090608353094,0.0196991105218074,0.0165616802342504,0.0187055991075023,0.008887985711154,0.0384047096293098,0.0254496659454044,0.001622844089211,0.408,0.1508,0.5588,U HSBO,0.878,417.8243137815893,2530.5412779729204
MLH1,"HSBO: 40, Survey: 35",40.62000229715314,22.14677983075441,46.804626459445224,0.0,0.953603425772433,0.0,0.2485233749558244,13406.497718164022,20476.54278130692,0.0181247843521519,0.0138986752465264,0.0172159788915075,0.0075933010974645,0.0353407632436595,0.021491976343991,0.0016273635333042,0.408,0.1508,0.5588,U HSBO,0.878,605.3474961423925,
MLH1,"HSBO: 50, Survey: Never",39.77874853277843,22.088500487180863,45.070752937906924,0.0,0.7746934334155815,0.0,0.0,15060.363499224943,30176.125818038898,0.0567680263921268,0.0469018126070309,0.139388968230795,0.0586923705300076,0.1961569946229218,0.1055941831370386,0.0013453407684675,0.408,0.1508,0.5588,U HSBO,0.878,681.8191894902633,
MLH1,"HSBO: 50, Survey: 30",40.351451577177365,22.067693633189965,46.5024528321978,0.0,0.8922234207253964,0.0,0.6593321422323647,21811.401082278313,34808.050314998356,0.0293594378488808,0.019773339317007,0.0624274736593101,0.0222519992958863,0.091786911508191,0.0420253386128934,0.0015252897727675,0.408,0.1508,0.5588,U HSBO,0.878,988.3860744502006,
MLH1,"HSBO: 40, Survey: 30",40.5700716214017,22.053737030077134,46.98788378455932,0.0,0.9626039487234548,0.0,0.4399816993727548,16840.247367411976,23797.676259517433,0.0144056166894854,0.0100619882851262,0.013686090482717,0.0056003168657673,0.0280917071722025,0.0156623051508936,0.0016410502527545,0.408,0.1508,0.5588,U HSBO,0.878,763.600624440432,
MLH1,"HSBO: Never, Survey: 35",39.871291725920706,22.019450781172292,45.72644955520425,0.0,0.7434331141677147,0.0,0.7434331141677147,23072.173711805797,43689.997413950536,0.0525172090857398,0.0430131248529102,0.1313900717849738,0.0409898896944808,0.1839072808707136,0.084003014547391,0.001263938783821,0.408,0.1508,0.5588,U HSBO,0.878,1047.808773302086,
